Word,POS,Pronunciation (IPA),Frequency
Karayenice,NNP,,1
Kayapnar,NNP,,1
Kraniftlii,NNP,,1
Klaky,NNP,,1
Kocakoru,NNP,,1
Koruky,NNP,,1
Kozaklar,NN,,1
Kkbelen,NNP,,1
Kksmbller,NNP,,1
Maldan,NN,,1
Mollasleymanl,NN,,1
Muradiye,NN,,1
Mslih,NN,,1
Ortaky,NN,,3
Osmancal,JJ,,1
Otmanlar,NN,,1
rencik,NN,,2
rselli,NN,,1
Pelitalan,NN,,1
Pnarky,NN,,1
Recepli,NN,,1
Sakall,NN,,1
Sancaklbozky,NN,,1
Sancaklemeba,NN,,1
Sancaklidecik,NN,,1
Sancaklkayadibi,NN,,1
Sancakluzunnar,NN,,1
Sarahmetli,NN,,1
Saralan,NN,,1
Sarnasuhlar,JJ,,1
Selimahlar,JJ,,1
Siyekli,NN,,1
Smbltepe,NN,,1
Sngll,NN,,1
amar,NN,AH M AA R,1
Tekeliler,NN,,1
Tepecik,NN,,1
Tilkisleymaniye,NN,,1
Turgutalp,NN,,2
Trkmen,NNS,,2
Uzunburun,NN,,1
Uzunlar,JJ,,1
pnar,NN,,1
Yaylaky,NN,,1
Yeniharmandal,NN,,1
Yeniky,NN,,8
Yenimahmudiye,NN,,1
Yeilky,NN,,2
Yukarobanisa,NN,,1
Yuntdakseler,NN,,1
Yuntdayenice,NN,,1
Ahmetli,NN,,20
Alahdr,NN,,1
Ataky,NN,,1
Bahecik,NN,,2
Cambazl,NN,,1
Dereky,NN,,3
Derici,NN,,1
Dibekdere,RB,,1
Gkkaya,NN,,1
Hackseli,NN,,2
Halilkahya,NN,,1
Karaky,NNP,,3
Kargn,NNP,,1
Kendirlik,NNP,,1
Kestelli,NNP,,1
Mandall,NN,,1
Seydiky,NN,,1
Yaral,JJ,,1
Akhisar,NN,,91
Zeytinliova,NNP,,1
Akaalan,NN,,2
Akeme,NN,,1
Akkocal,JJ,,1
Akselendi,NN,,1
Arabacbozky,NN,,1
Aadolma,NN,,1
Ballca,NN,,1
Balam,NN,,1
Bekirler,NN,,1
Beyoba,NN,,1
Boyallar,JJ,,1
Bkn,NN,,1
Bnyanosmaniye,NN,,1
amn,NN,,1
anak,NN,,3
tak,NN,T AE K,1
obanhasan,NN,,1
oruk,NN,,1
Dadere,RB,,1
Dayolu,NN,,1
Doankaya,NN,,1
Douca,NN,,1
Dolmadeirmen,NNS,,1
Durasl,NN,,1
Erdelli,NN,,1
Erolu,NN,,2
Evkafteke,NN,,1
Gcek,NN,,1
Gkeahmet,NNP,,1
Hacibrahimler,NN,,1
Hacosmanlar,NN,,1
Hamitky,NN,,1
Hanpaa,NN,,1
Harmandal,NN,,1
Hasky,NN,,1
Ikky,NN,,1
saca,NN,,1
Kabaaakran,NNP,,1
Kadda,NNP,,1
Kapakl,NNP,,1
Karabrkl,NNP,,1
Karayac,NNP,,2
Kavakalan,NN,,1
Kayalolu,NNP,,1
Kayganl,NNP,,1
Kzlaralan,NN,,1
Kobadere,RB,,1
Kocakaan,NNP,,1
Kmrc,NNP,,1
Kulakszlar,NN,,1
Kurtulmu,NNP,,1
Mecidiye,NN,,1
Medar,NN,M EH D ER,1
Morallar,NN,,1
Musaca,NN,,1
Musalar,NN,,1
Mutullar,NN,,1
Pekmezci,NN,,1
Pnarck,NN,,1
Rahmiye,NN,,1
Sabanclar,JJ,,1
Sarak,NN,,1
Sakarkaya,NN,,1
Saral,JJ,,1
Sarlar,JJ,,1
Seirdim,NN,,1
Selikli,NN,,1
Selvili,NN,,1
Srtky,NN,,1
Sindelli,NN,,1
Stl,NN,,1
Sleymanky,NN,,1
Sleymanl,NN,,1
Snnetiler,NN,,1
ehitler,NN,,1
Talar,NN,,1
Topluca,NN,,1
Ttenli,NN,,1
Ulupnar,NN,,1
avlu,NN,,2
Yataan,NN,,1
Yayakrldk,NN,,1
Yaykn,NN,,2
Yeenoba,NN,,1
Yenice,NN,,3
Yenidoan,NN,,1
Zeytinliba,NN,,1
Alaehir,NN,,70
Akkeili,NN,,1
Alhan,NN,,1
Aydodu,NN,,1
Aztepe,NN,,1
Badnca,NNP,,1
Bahadr,NN,,2
Bahedere,NNP,,1
Baheliky,NN,,1
Baklac,NN,,1
Belenyaka,NNP,,1
Caberburhan,NN,,1
Caberfakl,NN,,1
Caberkamara,NN,,1
alayan,NN,,2
akrcaali,NN,,1
amlbel,NN,,1
arkbozda,NN,,1
arkkaralar,NN,,1
eneli,NN,,1
Daarlar,NN,,1
Dahacyusuf,NN,,1
Delemenler,NN,,1
Erenky,NN,,1
Evrenli,NN,,1
Girelli,NNP,,1
Gmay,NN,,1
Grsu,NN,,1
Hacaliler,NN,,1
Horzumalayaka,NNP,,1
Horzumembelli,NNP,,1
Horzumkeserler,NN,,1
Horzumsazdere,WRB,,1
Ilgn,NN,,1
Iklar,JJ,,4
smailbey,NN,,1
smetiye,NN,,1
Karacalar,NN,,1
Karada,NNP,,1
Kasapl,NNP,,1
Kemaliye,NNP,,1
Kestanederesi,NNP,,1
Killik,NNP,,2
Kozluca,NNP,,1
Kurudere,RB,,2
Matarl,NNP,,1
Narldere,RB,,1
Osmaniye,NN,,1
rnekky,NN,,1
Piyadeler,NN,,1
Sarpnar,NN,,1
Selce,NN,,1
Serinky,NN,,1
Serinyayla,NN,,1
Sobran,NN,,1
Soanl,NN,,1
Soukyurt,NN,,1
Suba,NN,S UW B AH,1
ahyar,NN,,1
Tepeky,NN,,1
Toygar,NN,,1
Uluderbent,NN,,1
zml,NN,,1
Yeilyurt,NN,,2
Yuvacal,JJ,,1
Demircili,NN,,1
Ahatlar,JJ,,1
Ahmetler,NN,,1
Akdere,RB,,1
Armutlu,NN,,1
Ayvaalan,NN,,1
Azizbey,NN,,1
Bardak,NN,,1
Bayramah,NN,,2
Borlu,NN,,1
Boyack,NN,B OY AH K,1
Bozatl,NN,,1
Bozky,NN,,1
Bykkran,NN,,1
allar,NN,AH L AA R,1
andr,NN,,1
ataloluk,NN,,1
ayky,NN,,2
Danimentler,NN,,1
Durhasan,NNP,,1
Elek,NN,EH L IH K,1
Esenyurt,NN,,1
Eskihisar,NN,,1
Gkveliler,NN,,1
Gmeler,NN,,1
Gmele,NNP,,1
Greme,NN,,1
Gveli,NN,,1
Hrkal,NN,,1
Hoalar,NN,,1
Hdk,NN,,1
Iklk,NN,,1
cikler,NN,,1
mceler,NN,,1
mrenler,NN,,1
riler,NN,,1
smailler,NN,,1
Karaisalar,NN,,1
Kargnklar,NN,,1
Karyad,NNP,,1
Kayaky,NNP,,1
Kayranokular,NN,,1
Kazanc,NN,,1
Kerpilik,NNP,,1
Klavuzlar,NN,,1
Klak,NNP,,1
Kovanc,NN,,1
Kuzeyir,NNP,,1
Kuzuky,NNP,,1
Kkkran,NNP,,1
Kkoba,NNP,,1
Kpeler,NNP,,1
Mahmutlar,NN,,1
Marmarack,NN,,1
Mezitler,NN,,1
Minnetler,NN,,1
kszl,NN,,1
ren,NNS,R EH N,2
rcler,NN,,1
Rahmanlar,JJ,,2
Sarayck,NN,,1
Sayk,NN,,1
Selviler,NN,,1
Sereler,NN,,1
Seviler,NN,,2
Stk,NN,,2
Talas,NNS,,1
Taokular,NN,,1
Tekeler,NN,,1
Teperik,NN,,1
Tokmakl,NN,,1
Ulack,NN,,1
Yabac,NN,,1
Yarbasan,NN,,1
Yavalar,NN,,1
Yeildere,RB,,1
Yeiloba,NN,,1
Yienler,NN,,1
Yiitler,NN,,1
Yumuklar,NN,,1
Ayanlar,JJ,,1
Beyler,NN,,1
mleki,NN,,1
Deynekler,NN,,1
Hacbatanlar,NN,,1
Hacveliler,NN,,1
Hrolu,NN,,1
Kayaalt,NNP,,1
Klcanlar,NN,,2
Yunuslar,NN,,1
Grdes,NNS,,54
Akpnar,NN,,1
Balkl,NN,,1
Bayat,NN,,2
Beel,NN,B IY L,1
Beenler,NN,,1
Benlieli,NNS,,1
Boyal,NN,,1
Brez,NN,,1
atalarmut,NN,,1
iekli,NN,,1
iiller,NN,,1
Dalkara,NN,,1
Dargl,NN,,1
Delioban,NN,,1
Dereiftlik,NN,,1
Dikilita,NNP,,1
Doanpnar,NN,,1
Dutluca,NN,,1
Efendili,NN,,1
Fundack,NN,,1
Gneli,NN,,1
Kabakoz,NNP,,1
Kalemolu,NNP,,1
Karaaa,NNP,,2
Karakeili,NNP,,1
Karayakup,NN,,1
Kayack,NN,,1
Kran,NNP,,1
Kymk,NNP,,1
Kzldam,NNP,,1
Kobaklar,NN,,2
Koruba,NNP,,1
Kseler,NNP,,1
Kuluk,NNP,,1
Kuyucakkarapnar,NNP,,1
Kreki,NNP,,1
Malaz,NN,,1
Malkoca,NN,,1
Merkez,NN,,1
Tepe,NN,T IY P,1
Salur,NN,,1
Saraliler,NN,,1
ahinkaya,NN,,1
eyhyayla,NN,,1
Tpler,NN,,1
Ulgar,NN,,1
Yakaky,NN,,1
Krkaa,NNP,,34
Alacalar,JJ,,1
Alifak,NN,,1
Bademli,NN,,1
Bostanc,NN,,1
altcak,NN,,1
iftlik,NN,,1
obanlar,NN,,1
Demirta,NN,,1
Dualar,NN,,2
Frdanlar,NN,,1
Gebeler,NN,,1
Gelenbe,NN,,1
Gkukur,NN,,1
Gvendik,NN,,1
Hacet,NN,,1
Halkahavlu,NN,,1
Hamitli,NN,,1
Karakurt,NNP,,1
Knk,NNP,,3
Kocaiskan,VB,,1
Kuyucak,NNP,,1
Kkyaya,NNP,,1
Musahoca,NN,,1
eli,NN,IY L AY,1
Sakarl,NNP,,1
Siledik,NN,,1
Stalan,NN,,1
Yamurlu,NN,,1
Kprba,NNP,,28
Alanyolu,NN,,1
Arpac,NN,,1
Azimli,NN,,2
Bozburun,NNP,,1
avullar,NN,,1
Dren,NNS,,1
Esat,NN,,1
Glba,NN,,3
Gndodu,NN,,1
kizkuyu,NN,,1
Karaelmack,NN,,1
Kasar,NNP,,1
Kavakyeri,NNP,,1
Kemhall,VB,,1
Kdrck,NNP,,1
Kraneyh,NNP,,1
Kozakl,NNP,,1
Kurtlar,NN,,1
Mestanl,NN,,1
Rallar,JJ,,1
Sarga,NN,,1
Uurlu,NN,,1
Kula,NNP,K UW L AH,53
Akta,NN,,1
Ayazren,NNS,,1
Ayvatlar,JJ,,1
Balbey,NN,,1
Babyk,NN,,1
Battalmustafa,NN,,1
Bebekli,NN,,1
Brtlce,NN,,1
arkball,NN,,1
arkmahmutlu,NN,,1
arktekke,NN,,1
iftiibrahim,NN,,1
Emre,NN,,1
Encekler,NN,,1
Erenba,NN,,1
Esenyaz,NN,,1
Evciler,NN,,1
Gkeren,NNS,,1
Gkdere,RB,,1
Gvercinlik,NN,,1
Hayalli,NNP,,1
brahimaa,NN,,1
ncesu,NN,,1
Kalnharman,NNP,,1
Karaoba,NNP,,1
Kavack,NN,,1
Kenger,NN,,1
Konurca,NNP,,1
Krez,NNP,,1
Narncalptrak,NN,,1
Narncalsleyman,NN,,1
Papulu,NN,,1
Sandal,NN,S AE N D AH L,1
Saralar,JJ,,1
Sarn,NN,,1
Stdere,RB,,1
ehitliolu,NN,,1
eremet,NN,,1
eritli,NN,,1
hl,NN,,1
Tatleme,NN,,1
Topuzdamlar,NN,,1
Yabast,NN,,1
Yeilyayla,NN,,1
Yurtba,NN,,1
Adala,NN,,1
Akren,NNS,,1
Akyar,NN,,1
Allahdiyen,NNS,,1
Baclar,JJ,,1
Balolu,NN,,1
Bektalar,JJ,,1
Beylikli,NN,,1
Burhan,NNP,,1
Caferbey,NN,,1
akaldoanlar,NN,,1
altl,NN,,1
amurhamam,NN,,1
apakl,NN,,1
aypnar,NN,,1
elikli,NN,,1
Damatl,NN,,1
Delibal,NN,,1
Derbent,NN,,2
Dombayl,NN,,1
Eldelek,NN,,1
Eminbey,NN,,1
Emirhacl,NN,,1
Gkeyp,NN,,1
Gkky,NN,,1
Hacbektal,NN,,1
Hachdr,NN,,1
Hacl,NN,,1
Hasalan,NN,,1
decik,NN,,1
Kabazl,NNP,,1
Kale,NNP,K EY L,1
Kapanc,NN,,1
Karapnar,NNP,,1
Karasavc,NNP,,1
Karayahi,NNP,,1
Kemer,NNP,,1
Kemerdamlar,NN,,1
Krdamlar,NN,,1
Kzlhavlu,NNP,,1
Kordon,NNP,,1
Kseali,NNP,,1
Kurttutan,NNP,,1
Mamatl,NN,,1
Mersindere,RB,,1
Mersinli,NN,,1
Mevlutlu,NN,,1
Oraklar,NN,,1
Pazarky,NN,,1
Poyraz,NN,,1
Poyrazdamlar,NN,,1
Sart,NN,,1
Sindel,NN,,1
irinyer,NN,,1
Taytan,NN,,1
Tekeliolu,NN,,1
Torunlu,NN,,1
Yenipazar,NN,,1
Yeilkavak,NN,,1
Yeilova,NN,,1
Ylmaz,NN,,1
Sargl,NN,,31
Afar,NN,AH F AA R,1
Ahmetaa,NN,,1
Alemahl,NN,,1
Balca,NN,,1
Bahadrlar,JJ,,1
Baharlar,JJ,,1
Bereketli,NN,,1
Beyharman,NNP,,1
avular,NN,,1
imentepe,NN,,1
Dadal,NN,,1
Dindarl,NNP,,1
Doular,NN,,1
Emcelli,NN,,1
Gneydamlar,NN,,1
Gnyaka,NNP,,1
Kahramanlar,NN,,1
Karacaali,NNP,,1
Kzlukur,NNP,,1
zpnar,NN,,1
Srtmal,JJ,,1
eyhdavutlar,NN,,1
Trazlar,NN,,1
Yeiltepe,NN,,1
Yukarkoaklar,NN,,1
Ziyanlar,JJ,,1
Saruhanl,NN,,41
Adiloba,NN,,1
Alibeyli,NN,,1
Apak,NN,,1
Aydnlar,JJ,,1
Bedeller,NN,,1
Bykbelen,NNP,,1
akmakl,NN,,1
amlyurt,NN,,1
Develi,NN,,1
Dilek,NN,,1
Gke,NN,,1
Gzlet,NN,,1
Gmlceli,NN,,1
Hacmusa,NN,,1
Hacrahmanl,NN,,1
Halitpaa,NN,,1
Hatplar,NN,,1
shakelebi,NN,,1
Kaylar,NN,,1
Kemiklidere,RB,,1
Kepenekli,NNP,,1
Koldere,RB,,1
Koyuncu,NNP,,1
Kumkuyucak,NNP,,1
Ltfiye,NN,,1
Mtevelli,NNP,,1
Nuriye,NN,,1
Paaky,NN,,1
Pnarba,NN,,1
Saram,NN,,1
Sarsrl,NN,,1
Seyitoba,NN,,1
atrlar,NN,,1
Tadibi,NN,,1
Tirke,NN,,1
Yeniosmaniye,NN,,1
Selendi,NN,,45
Akakertil,NN,,1
Altnky,NN,,1
Aagllce,NN,,1
Avlaa,NN,,1
Beypnar,NN,,1
alkl,NN,,1
ampnar,NN,,2
amyayla,NN,,1
ana,NN,AA N AH,1
krk,NN,,2
inan,NN,,1
ortak,NN,,1
Dedeler,NN,,1
Dumanlar,NN,,1
Eskin,NN,IH S K IH N,1
Havaolu,NN,,1
Kabaklar,NN,,1
Karabeyler,NNP,,1
Karakozan,NNP,,1
Karaselendi,NNP,,1
Karataterziler,NNP,,1
Kayranlar,NN,,1
Kazkl,NNP,,1
Kurunlu,NNP,,1
Krk,NNP,,1
Mdkl,NN,,1
Mollaahmetler,NN,,1
Omurlar,NN,,1
Pnarlar,NN,,1
Satlm,NN,,1
Selmanhaclar,JJ,,1
ehirliolu,NN,,1
Tavak,NN,,1
Tepeynihan,NN,,1
Turpu,NN,,1
Yac,NN,,1
Yukargllce,NN,,1
Zramanlar,JJ,,1
Soma,NN,S OW M AH,57
Avdan,NN,,1
Akaavlu,NN,,1
Beyce,NNP,,1
Boncuklu,NN,,1
Bozarmut,NN,,1
Byk,NN,,2
Gney,NN,,3
Cenkyeri,NN,,1
atalam,NN,,1
avdr,NN,,1
evircek,NN,,1
Darkale,NN,,1
Deni,NN,,1
Devlethan,NN,,1
Dula,NN,D UW L AH,1
Enez,NN,,1
Hatun,NN,,1
Heciz,NN,,1
Karacahisar,NNP,,1
Karacaka,NNP,,1
Karaam,NNP,,1
Kayrakalt,NNP,,1
Kzlren,NNS,,1
Kiraz,NNP,,1
Koyundere,RB,,1
Kozanl,NNP,,1
Kozluren,NNS,,1
Kk,NNP,,1
Mentee,NN,,1
Naldken,NN,,1
Pirahmet,NN,,1
Sarkaya,NN,,1
Sultaniye,NN,,1
Tabanlar,NN,,1
Tekeli,NN,,1
Trkali,NN,,1
Trkpiyala,NN,,1
Ularca,NN,,1
Uruzlar,JJ,,1
Vakfl,NN,,1
Yacl,NN,,1
Yayladal,NN,,1
Yrca,NN,,1
Turgutlu,NN,,38
Akapnar,NN,,1
Akky,NN,,1
Aabozkr,NN,,1
Avar,NN,,1
Baktrl,NN,,1
Bozkr,NN,,1
atalkpr,NN,,1
epnibekta,NN,,1
epnidere,RB,,1
Gkgedik,NN,,1
Hacisalar,NN,,1
Irlamaz,NN,,1
zzettin,NN,,1
Kabanar,NNP,,1
Karaoluk,NNP,,1
Kayrak,NNP,,1
Kular,NN,,1
Musacal,JJ,,1
Musalaryeniky,NN,,1
Osmanck,NN,,1
Sarbey,NN,,1
Sinirli,NN,,1
Sivrice,NN,,1
Temrek,NN,,1
Urganl,NN,,1
Yakuplar,NN,,1
Yunusdere,RB,,1
6360,CD,,2
Yunusemre,NN,,1
ehzadeler,NN,,1
40690514,CD,,1
locator,NN,L OW K EY T ER,1
Sandskr,NN,,4
Bothnia,NNP,,1
Haparanda,NN,,4
Permeri,NN,,1
boattrip,NN,,1
whitebait,NN,,1
marina,NN,M ER IY N AH,1
Harapanda,NN,,1
rebound,NN,R IY B AW N D,1
moorlands,NNS,M UH R L AE N D Z,2
moraine,NN,M ER EY N,1
aspen,VB,AE S P AH N,1
lilyofthevalley,NN,,1
Waders,NNS,W EY D ER Z,1
Warbler,NN,W AO R B L ER,3
Redpoll,NN,R EH D P OW L,1
Brambling,VBG,,1
Dusky,NN,,1
Yellowbrowed,VBN,,1
40709514,CD,,1
Clongowes,NN,,1
Perthshire,NN,,1
caricatured,VBN,K ER IH K AH CH ER D,1
Ape,NN,EY P,1
Mellor,NN,M EH L ER,1
40711514,CD,,1
Noto,NN,N OW T OW,3
radiohost,NN,,1
serena,NN,S AH R IY N AH,1
Tortora,NN,T AO R T AO R AH,1
applauso,NN,,1
Telematch,NN,,1
Voci,NN,,1
volti,NN,,1
fortuna,NN,F AO R T UW N AH,1
stanno,NN,,1
guardare,NN,,1
40718514,CD,,1
Matejov,NN,,3
40736514,CD,,1
Yaychi,NNS,,1
Yych,NN,,1
Jik,NN,,2
Chaldoran,NN,,1
40794514,CD,,1
Strikeforce,NN,,5
omoplata,NNS,,1
40801514,CD,,1
Pih,NN,P IH,1
Jk,NN,,1
Chk,NN,,1
Solduz,NN,,1
Naqadeh,NN,,1
40920514,CD,,1
biker,NN,B AY K ER,1
HaroLee,NN,,1
Dungaree,NN,,1
22033,CD,,1
21343,CD,,1
Killeen,NNP,K IH L IY N,1
Beckingsale,NN,,1
Biking,VBG,B AY K IH NG,1
fortyfourth,NN,,1
40921514,CD,,1
Anacrusis,NN,,1
securiferana,NN,,1
40940514,CD,,1
Hongxian,JJ,,1
15041564,CD,,1
jinshi,NN,,1
NeoConfucian,JJ,,1
collating,VBG,,1
cartographical,JJ,,1
Yutu,NN,,1
Siben,NN,,1
Enlarged,VBN,EH N L AA R JH D,1
cartography,NN,,1
jesuit,NN,JH EH ZH UW IH T,1
dAnville,NN,D AE N V IH L,1
Chine,NN,,1
40942514,CD,,1
Zufari,NN,,7
ZUFARI,NN,,2
Chessington,NN,,2
themepark,NN,,1
22acre,CD,,1
rhinos,NNS,R AY N OW Z,2
ostriches,NNS,AA S T R IH CH IH Z,1
blesbok,NN,,1
nile,NN,N AY L,1
lechwe,NN,,1
Attraction,NN,AH T R AE K SH AH N,1
ToyTown,NN,,1
rethemed,VBN,,1
Wanyama,NN,,2
ACRE,NN,EY K ER,2
VanDriver,NN,,1
40965514,CD,,1
Vergnas,NNS,,2
PierreandMarieCurie,NN,,2
scientifique,NN,,1
Berge,NN,B ER JH,1
Combinatorics,NNS,,1
matroids,NNS,,1
combinatorics,NNS,,1
combinatorial,NN,,1
40998514,CD,,1
Varazan,NN,,1
Varzn,NN,,1
Fazlolahe,NN,,1
Nuri,NN,,1
Baladeh,NN,,1
41019514,CD,,1
362330,CD,,1
OUWBSM,NN,,3
OU,NN,UW,2
mailing,VBG,M EY L IH NG,1
WBH,NN,,2
Gastric,NNP,G AE S T R IH K,1
Mackinac,NN,,2
WBHS,NN,,1
41028514,CD,,1
preliminaries,NNS,P R IH L IH M AH N EH R IY Z,1
41032514,CD,,1
RBBC1,NN,,3
Qualifier,NN,K W AA L AH F AY ER,4
bboys,NNS,,1
41040514,CD,,1
MeuseArgonne,NN,,1
SeptemberNovember,NNP,,1
undetermined,JJ,AH N D IH T ER M IH N D,1
fter,NN,,1
1918undetermined,CD,,2
41047514,CD,,1
Kee,NNP,K IY,1
19791983,CD,,1
19851988,CD,,1
KEK,NNP,,5
19901992,CD,,2
2002present,CD,,1
19951995,CD,,1
Accelerator,NN,AE K S EH L ER EY T ER,3
19991999,CD,,1
19851996,CD,,1
TRISTAN,NN,T R IH S T AE N,1
ee,NN,IY,1
collider,NN,K AH L AY D ER,1
E799,NN,,1
Kaon,NNP,,1
19941998,CD,,1
D0,NN,,1
TEVATRON,NN,T EH V AH T R AA N,1
19942011,CD,,1
BELLE,NN,B EH L,3
KEKB,NNP,,1
20002011,CD,,1
19942001,CD,,1
KoreaNASA,NNP,,1
LC,NN,,1
Physicists,NNS,F IH Z IH S IH S T S,1
20062012,CD,,1
KoreaCERN,NNP,,1
MEST,NN,M EH S T,3
ILC,NN,,1
Particle,NN,P AA R T AH K AH L,1
20112011,CD,,1
20122014,CD,,2
TNRLC,NN,,1
Koshiba,NNP,,1
SNU,NN,,1
MJ,NN,,2
massdistribution,NN,,1
tau,NN,,1
hhh,NN,,1
nutau,NN,,1
timedependent,NN,,1
B0Jpsi,NNS,,1
pi0,NN,,2
071101,CD,,1
Interacting,VBG,IH N T ER AE K T IH NG,2
Particles,NNS,P AA R T AH K AH L Z,1
Nucleons,NNS,,1
Obtained,VBN,AH B T EY N D,1
Tl,NN,,5
RevLettVol,NN,,1
091301,CD,,1
wimp,NN,W IH M P,1
PhysLettB6332012006,NN,,1
21737,CD,,1
HeyoungYang,NN,,1
PhysRevLett94111802,NN,,1
SHLee,NN,,1
B0,NN,,1
PI0,NN,,2
21766,CD,,1
cb,NN,,1
semileptonic,NN,,1
antib0,NN,,1
antinu,NN,,1
21796,CD,,1
cp,NN,,1
meson,NN,M EY Z AA N,1
21825,CD,,1
pions,NNS,,1
upsilon,NN,,1
PhysRevD640720012001,NN,,1
antit,NN,,1
pantipcollisionsats,NNS,,1
21855,CD,,1
Abachi,NNS,,1
HSAhn,NN,,1
21895,CD,,1
Krolak,NNP,K R OW L AH K,1
lepton,NN,,1
FNAL799,NN,,1
21924,CD,,1
leptons,NNS,,1
highenergyqed,NN,,1
tristan,NN,T R IH S T AE N,1
21953,CD,,1
HSLee,NN,,1
lowbackground,NN,,1
WIMP,NN,W IH M P,2
Nucl,NN,,6
Instrum,NN,,4
Meth,NNS,M EH TH,6
Hwang,NN,HH W AE NG,1
Tinloaded,VBN,,1
Belogurov,NN,,1
CaMoO4,NN,,1
scintillation,NN,,1
mo100,NN,,1
21993,CD,,1
Inhibition,NN,IH N HH AH B IH SH AH N,2
cs137,NN,,1
cesium,NN,S IY Z IY AH M,1
A5524564622005,NN,,1
Ganel,NNS,,1
balloonborne,NN,,1
atic,JJ,,1
experimentNucl,NN,,1
5524094192005,CD,,1
HJKim,NN,,1
Astropart,NN,,1
Phys205495572004,NN,,1
TY,NN,T AY,1
unternal,JJ,,1
22027,CD,,1
Instr,NN,,3
471475,CD,,1
programmable,JJ,P R OW G R AE M AH B AH L,1
634639,CD,,1
Ohshima,NN,,1
calorimeter,NN,,2
MethA3805175231996,NN,,1
Tesarek,NN,,1
22064,CD,,1
LHC,NN,,1
22100,CD,,1
41052514,CD,,1
Lamzer,NN,,1
Lamarz,NN,,1
Rastupey,NN,,1
Savadkuh,NN,,1
41057514,CD,,1
Mutch,NN,M AH CH,1
41065514,CD,,1
width150Event,NN,,2
41075514,CD,,1
Alaki,NN,,1
Sahra,NN,,1
lak,NN,L AE K,1
lakmaalleh,NN,,1
Layalestan,NN,,1
Lahijan,NN,,1
41085514,CD,,1
Fashtakeh,NN,,1
Fashtakehye,NN,,1
Avval,NN,,1
Chapar,NN,,1
Khaneh,NNP,,1
Khomam,NNP,,1
41089514,CD,,1
41128514,CD,,1
Bommalattam,NN,,2
1130am,CD,,1
450th,JJ,,1
Bommalata,NNS,,2
Kathir,NNP,,1
exlover,NN,,1
41134514,CD,,1
18841885,CD,,1
Mastery,NN,M AE S T ER IY,1
18481918,CD,,1
monographs,NN,,1
earthen,NN,ER TH AH N,1
outselling,VBG,AW T S EH L IH NG,1
irreverence,NN,IH R EH V ER AH N S,1
revaluation,NN,R IY V AE L Y UW EY SH AH N,1
epigrammatic,JJ,EH P AH G R AH M AE T IH K,1
neat,NN,N IY T,1
Bismarckian,JJ,,1
perceptive,NN,P ER S EH P T IH V,1
unsurpassed,JJ,AH N S ER P AE S T,1
41221514,CD,,1
Aeromonas,NNS,,2
bivalvium,NN,,1
gramnegative,NN,,1
catalasepositive,NN,,1
flagellum,NN,F L AH JH EH L AH M,1
41230514,CD,,1
Vesna,NN,V EH S N AH,4
JugoviDe,NN,,1
Vina,NNP,V IY N AH,1
281957,CD,,1
Vinca,NN,V IH NG K AH,5
theCU,NN,,1
objectified,VBN,,1
Megatrend,NN,,1
Ended,VBD,EH N D AH D,1
Vuk,NN,,2
Karadzic,NNP,K AA R AA JH IH K,2
Sveti,NN,,1
Belgarde,NN,B EH L G AA R D IY,1
Encounters,NNS,IH N K AW N T ER Z,1
19932011,CD,,1
Qunu,NN,,1
HELLO,NN,HH AH L OW,2
Murdochs,NNS,,1
Coloneland,NN,,1
Arthurs,NNS,AA R TH ER Z,1
Rabanne,NN,,1
Yassar,NN,,1
Zahua,NNP,,1
Wiesenthal,NN,W IY S AH N TH AA L,1
Resuli,NN,,1
Hoxhas,NN,,1
Sirimavo,NN,,2
Bandaranaike,IN,,1
gentleness,NN,JH EH N T AH L N AH S,1
madam,NN,M AE D AH M,1
Raptis,NN,R AH P T IY S,1
Trocky,NN,,1
Lollobrigida,NN,,1
PINK,NN,P IH NG K,1
Deneuve,NN,D IH N AH V,1
POLITIKA,NN,,1
5590,CD,,1
5702,CD,,1
5777,CD,,1
5844,CD,,1
5932,CD,,1
6011,CD,,1
6119,CD,,1
6227,CD,,1
6294,CD,,1
6385,CD,,1
6450,CD,,1
6535,CD,,1
6640,CD,,1
6740,CD,,1
6834,CD,,1
6911,CD,,1
6991,CD,,2
7172,CD,,1
7256,CD,,1
7355,CD,,1
7426,CD,,1
BLIC,NN,,1
7520,CD,,1
SVET,NN,,1
7579,CD,,1
SRBI,NN,,1
FRANCUSKOJ,NN,,1
7652,CD,,1
7760,CD,,1
7912,CD,,1
8031,CD,,1
41233514,CD,,1
documentarystyle,NN,,3
TV5,NN,,4
Mondays,NNS,M AH N D IY Z,1
biracial,NN,B AY R EY SH AH L,1
1D,CD,,1
vlogumentary,JJ,,1
vlogging,VBG,,1
buko,NN,,1
taho,NN,,1
balut,NN,,1
IMA,NNP,,1
Cosido,NN,,2
Taguig,NN,,1
Dito,NN,,1
Argao,NN,,1
HalfIrish,JJ,,1
HalfFilipino,NN,,2
HalfBritish,JJ,,2
Dauis,NN,,1
CzechoslovakianCanadian,JJ,,1
Boholano,NN,,1
HalfFilpino,NN,,1
Empoy,NN,,1
Marquez,NN,M AA R K EH Z,1
41238514,CD,,1
41239514,CD,,1
Gowrishankar,NN,,3
Annapoorna,NN,,1
Microbiologist,NN,M AY K R OW B IY AA L AH JH IH S T,1
41244514,CD,,1
